Id,Firstname,Surname,Born,Born country,Gender,Year,Category,Motivation
1046,James,Robinson,,,male,2024,Economics,"""for studies of how institutions are formed and affect prosperity"""
1045,Simon,Johnson,,United Kingdom,male,2024,Economics,"""for studies of how institutions are formed and affect prosperity"""
1044,Daron,Acemoglu,1967-09-03,Turkey,male,2024,Economics,"""for studies of how institutions are formed and affect prosperity"""
1043,Nihon Hidankyo,,1956-08-10,,org,2024,Peace,"""for its efforts to achieve a world free of nuclear weapons and for demonstrating through witness testimony that nuclear weapons must never be used again"""
1042,Kang,Han,1970-11-27,South Korea,female,2024,Literature,"""for her intense poetic prose that confronts historical traumas and exposes the fragility of human life"""
1041,John,Jumper,,USA,male,2024,Chemistry,"""for protein structure prediction"""
1040,Demis,Hassabis,1976-07-27,United Kingdom,male,2024,Chemistry,"""for protein structure prediction"""
1039,David,Baker,,USA,male,2024,Chemistry,"""for computational protein design"""
1038,Geoffrey,Hinton,1947-12-06,United Kingdom,male,2024,Physics,"""for foundational discoveries and inventions that enable machine learning with artificial neural networks"""
1037,John,Hopfield,1933-07-15,USA,male,2024,Physics,"""for foundational discoveries and inventions that enable machine learning with artificial neural networks"""
1036,Gary,Ruvkun,,USA,male,2024,Medicine,"""for the discovery of microRNA and its role in post-transcriptional gene regulation"""
1035,Victor,Ambros,1953-12-01,USA,male,2024,Medicine,"""for the discovery of microRNA and its role in post-transcriptional gene regulation"""
1034,Claudia,Goldin,,USA,female,2023,Economics,"""for having advanced our understanding of women’s labour market outcomes"""
1033,Narges,Mohammadi,1972-04-21,Iran,female,2023,Peace,"""for her fight against the oppression of women in Iran and her fight to promote human rights and freedom for all"""
1032,Jon,Fosse,1959-09-29,Norway,male,2023,Literature,"""for his innovative plays and prose which give voice to the unsayable"""
1031,Aleksey,Yekimov,,USSR (now Russia),male,2023,Chemistry,"""for the discovery and synthesis of quantum dots"""
1030,Louis,Brus,,USA,male,2023,Chemistry,"""for the discovery and synthesis of quantum dots"""
1029,Moungi,Bawendi,,France,male,2023,Chemistry,"""for the discovery and synthesis of quantum dots"""
1028,Anne,L’Huillier,1958-08-16,France,female,2023,Physics,"""for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter"""
1027,Ferenc,Krausz,1962-05-17,Hungary,male,2023,Physics,"""for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter"""
1026,Pierre,Agostini,1941-07-23,French protectorate of Tunisia (now Tunisia),male,2023,Physics,"""for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter"""
1025,Drew,Weissman,1959-09-07,USA,male,2023,Medicine,"""for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19"""
1024,Katalin,Karikó,1955-01-17,Hungary,female,2023,Medicine,"""for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19"""
1023,Philip,Dybvig,1955-05-22,USA,male,2022,Economics,"""for research on banks and financial crises"""
1022,Douglas,Diamond,1953-10-25,USA,male,2022,Economics,"""for research on banks and financial crises"""
1021,Ben,Bernanke,1953-12-13,USA,male,2022,Economics,"""for research on banks and financial crises"""
1020,Center for Civil Liberties,,,,org,2022,Peace,"""The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy."""
1019,Memorial,,,,org,2022,Peace,"""The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy."""
1018,Ales,Bialiatski,1962-09-25,Russia,male,2022,Peace,"""The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy."""
1017,Annie,Ernaux,1940-09-01,France,female,2022,Literature,"""for the courage and clinical acuity with which she uncovers the roots estrangements and  collective restraints of personal memory"""
1016,Morten,Meldal,,Denmark,male,2022,Chemistry,"""for the development of click chemistry and bioorthogonal chemistry"""
1015,Carolyn,Bertozzi,1966-10-10,USA,female,2022,Chemistry,"""for the development of click chemistry and bioorthogonal chemistry"""
1014,Anton,Zeilinger,1945-05-20,Austria,male,2022,Physics,"""for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science"""
1013,John,Clauser,1942-12-01,USA,male,2022,Physics,"""for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science"""
